No,Pertanyaan,Jawaban
1854,Loker penyimpanan barang ada di stasiun gak?,"Belum ada loker otomatis bro, tapi bisa titip di kantor stasiun dengan verifikasi!"
1855,Stasiun Jakarta Kota buka 24 jam?,"Iya bro, tapi operasional KRL hanya 04:00-23:30 WIB!"
1856,Apakah ada klinik kesehatan di stasiun?,"Stasiun besar ada P3K bro, untuk klinik lengkap harus ke luar stasiun!"
1857,Warung kopi di stasiun Sudirman dimana?,"Ada beberapa di area komersial stasiun bro, cek di lantai 1!"
1858,Stasiun mana yang ada Sky Bridge?,"Sudirman dan Dukuh Atas ada sky bridge bro, menghubungkan ke gedung sekitar!"
1859,Apakah stasiun Jatinegara ada penginapan?,"Gak ada di dalam stasiun bro, tapi ada hotel murah sekitar 500 meter!"
1860,Printer/fotokopi ada di stasiun?,"Gak ada fasilitas itu bro, cari di luar stasiun!"
1861,Stasiun Tangerang punya layanan apa aja?,"Fasilitas standar bro: toilet, mushola, parkir, dan akses TransJakarta!"
1862,Apakah ada toko sovenir di stasiun?,"Gak ada toko resmi bro, tapi kadang ada pedagang kecil di sekitar!"
1863,Ruang tunggu VIP ada gak di stasiun?,"Gak ada ruang VIP bro, semua penumpang pakai fasilitas yang sama!"
1864,KRL dari Duri ke Tanah Abang berapa menit?,"Sekitar 10-15 menit aja bro, dekat banget!"
1865,Stasiun Sudirman transit ke mana aja?,"Bisa transit ke MRT, TransJakarta, dan LRT bro. Hub transportasi lengkap!"
1866,Berapa lama waktu transit minimal di Manggarai?,"Minimal 5-10 menit bro, kalau ganti rute. Tapi kalau ramai bisa lebih lama!"
1867,KRL Palmerah ke Tanah Abang lewat mana?,"Lewat Karet dan Duri bro, cuma 3-4 stasiun!"
1868,Dari stasiun Tebet ke Cawang naik apa?,"Naik KRL langsung bro, cuma 1 stasiun sebelah!"
1869,Apakah harus keluar gate kalau transit di Manggarai?,"Gak perlu bro, tinggal pindah peron sesuai arah tujuan!"
1870,Transit di Tanah Abang ke rute biru gimana?,"Cari papan petunjuk rute biru bro, biasanya beda peron!"
1871,Berapa lama jeda antar KRL di jam sibuk?,"Sekitar 5-10 menit bro, lumayan cepet!"
1872,KRL dari Citayam ke Jakarta lewat Depok?,"Iya bro, Citayam-Depok Baru-Depok-UI-Jakarta!"
1873,Stasiun mana yang paling sering jadi transit?,"Manggarai dan Tanah Abang bro, hub utama transit!"
1874,Apakah ada petugas khusus untuk lansia di stasiun?,"Ada bro, petugas siap bantu lansia. Jangan ragu minta tolong!"
1875,Cara minta bantuan wheelchair di stasiun?,"Datang ke loket atau customer service bro, petugas akan bantu!"
1876,Apakah ada jalur khusus difabel masuk stasiun?,"Ada gate lebih lebar bro, khusus untuk pengguna kursi roda!"
1877,Lift untuk difabel ada di semua stasiun?,"Stasiun besar ada bro, stasiun kecil kadang masih pake tangga!"
1878,Apakah petugas bisa antar difabel sampai KRL?,"Bisa bro, minta bantuan di customer service untuk pendampingan!"
1879,Toilet difabel ada di stasiun mana aja?,"Stasiun besar kayak Sudirman, Manggarai, Jakarta Kota ada bro!"
1880,Ramp untuk kursi roda ada di semua gate?,"Gate lebar biasanya ada ramp bro, cari yang icon wheelchair!"
1881,Apakah ada priority boarding untuk difabel?,"Gak ada sistem priority bro, tapi petugas bisa bantu duluan!"
1882,Pendamping difabel bayar tiket gak?,"Bayar bro, gak ada tiket gratis pendamping. Cuma difabelnya yang diskon/gratis!"
1883,Braille di stasiun ada gak?,"Ada di beberapa stasiun besar bro, terutama di tombol lift dan petunjuk!"
1884,KRL dari Rangkasbitung ke Jakarta ada?,"Gak ada KRL langsung bro, Rangkasbitung masih di luar jangkauan KRL Jabodetabek!"
1885,Stasiun terjauh dari Jakarta yang dilayani KRL?,"Cikarang, Nambo, dan Maja/Rangkasbitung bro, tergantung arah!"
1886,KRL ke arah Banten sampai mana?,"Sampai Maja atau Rangkasbitung bro, itu ujung rute!"
1887,Apakah ada rencana perpanjangan rute KRL?,"Ada rencana ke Cianjur dan daerah lain bro, tapi belum pasti kapan!"
1888,KRL melayani sampai Karawang gak?,"Sampai Cikarang bro, belum sampai Karawang!"
1889,Dari Jakarta ke Tangerang Selatan naik KRL?,Naik rute yang menuju Serpong atau Parung Panjang bro!
1890,Apakah KRL nyambung ke kereta jarak jauh?,Di Jakarta Kota dan Gambir bisa nyambung ke kereta antar kota bro!
1891,KRL ada yang sampai Bandung gak?,"Gak ada bro, KRL cuma untuk area Jabodetabek. Ke Bandung naik kereta lain!"
1892,Stasiun paling ujung di utara Jakarta?,"Tanjung Priok dan Jakarta Kota bro, ujung utara!"
1893,KRL ada cabang ke Bekasi Timur?,"Sampai Cikarang bro, itu udah termasuk Bekasi Timur!"
1894,Kalau ketinggalan barang di KRL lapor kemana?,"Langsung lapor ke petugas stasiun atau call 121 bro, kasih detail barangnya!"
1895,HP hilang di KRL gimana?,"Lapor segera ke petugas dan call 121 bro, ada lost and found!"
1896,Dompet hilang di stasiun harus lapor kemana?,"Ke kantor stasiun atau security post bro, secepatnya!"
1897,Apakah ada CCTV di semua area KRL?,"Ada bro, di gerbong dan stasiun semua ada CCTV!"
1898,Kalau ada pencopet di KRL gimana?,"Teriak minta tolong dan lapor petugas bro, jangan kejar sendiri!"
1899,Tombol darurat di KRL ada dimana?,"Di setiap ujung gerbong ada bro, dekat pintu masuk!"
1900,Apakah ada security berkeliling di KRL?,"Ada petugas keamanan yang patroli bro, tapi gak di setiap kereta!"
1901,Kalau liat orang mencurigakan di KRL?,"Jaga jarak dan lapor petugas bro, lebih aman!"
1902,Tas ditinggal di KRL bisa diambil lagi gak?,"Coba lapor ke lost and found bro, kalau ada yang nemu bisa diambil!"
1903,Apakah ada asuransi untuk barang hilang di KRL?,"Gak ada bro, tanggung jawab sendiri untuk jaga barang!"
1904,KRL mogok karena apa aja biasanya?,"Gangguan listrik, masalah mesin, atau kerusakan rel bro!"
1905,Kalau KRL mogok di terowongan gimana?,"Tenang aja bro, ada protokol evakuasi. Ikuti instruksi petugas!"
1906,Berapa lama biasanya perbaikan kalau KRL mogok?,"Tergantung masalahnya bro, 15 menit sampai 1 jam!"
1907,Apakah ada kompensasi kalau KRL telat lama?,"Gak ada kompensasi bro, tapi bisa komplain untuk evaluasi!"
1908,KRL pernah kecelakaan gak?,"Jarang banget bro, sistem keamanan KRL ketat!"
1909,Listrik KRL dari mana?,"Dari PLN bro, lewat jaringan listrik aliran atas!"
1910,Kalau hujan deras KRL tetap jalan?,"Jalan bro, tapi kadang melambat kalau kondisi bahaya!"
1911,Apakah KRL bisa banjir?,"Jarang, tapi kalau banjir besar bisa terganggu atau berhenti sementara bro!"
1912,Sinyal HP di terowongan KRL gimana?,"Kadang hilang bro, tergantung provider. Gak semua tower nyampe!"
1913,Apakah KRL pakai teknologi otomatis?,"Sebagian udah semi-otomatis bro, tapi masih ada masinis!"
1914,Seragam masinis KRL warna apa?,"Biru tua atau putih bro, ada badge KAI Commuter!"
1915,Apakah bisa ngobrol sama masinis?,"Gak bisa bro, kabin masinis tertutup dan harus fokus!"
1916,Gaji masinis KRL berapa?,"Rahasia perusahaan bro, tapi katanya cukup kompetitif!"
1917,Berapa lama training jadi masinis KRL?,"Beberapa bulan sampai setahun bro, plus sertifikasi!"
1918,Apakah ada masinis wanita?,"Ada bro, KAI Commuter udah punya masinis wanita!"
1919,Kondektur KRL tugasnya apa?,"Udah gak ada kondektur bro, semuanya otomatis dengan e-money!"
1920,Petugas di stasiun kerja berapa jam?,"Shift-shift bro, ada pagi-siang-malam!"
1921,Customer service KAI bisa dihubungi 24 jam?,"Bisa bro, call 121 kapan aja!"
1922,Apakah ada helpdesk di setiap stasiun?,"Stasiun besar ada bro, stasiun kecil cari petugas jaga!"
1923,Petugas kebersihan KRL dari perusahaan mana?,Ada yang internal KAI ada yang outsource bro!
1924,Jam berapa KRL paling sepi di hari kerja?,"Sekitar 10:00-15:00 bro, di luar jam berangkat-pulang kerja!"
1925,Weekend KRL mulai ramai jam berapa?,"Dari jam 08:00 pagi udah mulai ramai bro, apalagi kalau weekend!"
1926,Hari libur nasional KRL operasional normal?,"Normal bro, malah kadang lebih sering karena banyak penumpang!"
1927,KRL waktu lebaran gimana?,"Seminggu sebelum-sesudah lebaran sepi bro, banyak yang mudik!"
1928,Tahun baru KRL buka sampai jam berapa?,"Kadang diperpanjang sampai jam 01:00 malam bro, cek info resmi!"
1929,KRL saat hujan lebih lambat ya?,"Iya bro, demi keamanan kecepatan dikurangi kalau hujan deras!"
1930,Kalau ada demo dekat jalur KRL gimana?,"Bisa terganggu atau ditunda bro, cek info real-time di app!"
1931,KRL saat car free day beroperasi normal?,"Normal bro, malah biasanya lebih ramai!"
1932,Apakah ada KRL malam khusus weekend?,"Gak ada khusus bro, jadwal sama. Cuma frekuensi bisa beda!"
1933,KRL paling pagi berangkat dari mana?,"Dari depo-depo bro, biasanya Depok, Bogor, atau Bukit Duri!"
1934,Membawa laptop di KRL aman gak?,"Relatif aman bro, tapi tetap waspada terutama di jam ramai!"
1935,Backpacker boleh naik KRL?,"Boleh banget bro, banyak backpacker pakai KRL ke Bogor atau Tangerang!"
1936,Apakah ada tempat khusus naruh backpack besar?,"Gak ada tempat khusus bro, pegang sendiri atau taruh di bawah kaki!"
1937,Turis asing banyak pakai KRL gak?,"Lumayan banyak bro, terutama yang ke Bogor atau wisata murah!"
1938,Petunjuk arah di stasiun ada bahasa Inggris?,"Ada bro, di stasiun besar petunjuknya bilingual!"
1939,Apakah bisa bawa alat musik di KRL?,"Boleh bro, asal ukurannya wajar dan gak ganggu. Lipat kalau bisa!"
1940,Boleh nge-busking di KRL?,"Dilarang bro, bisa ditegur petugas atau security!"
1941,Pernah ada konser di stasiun KRL?,"Kadang ada event kecil bro, tapi jarang. Biasanya campaign khusus!"
1942,Apakah KRL ada iklan di dalamnya?,"Ada bro, di dinding dan plafon gerbong sering ada iklan!"
1943,Wifi di KRL pakai password?,"Gak pakai password bro, tapi harus verifikasi nomor HP biasanya!"
1944,Denda kalau loncat pagar stasiun berapa?,"Bisa ratusan ribu plus blacklist bro, jangan coba-coba!"
1945,Kalau tap e-money tapi gak naik gimana?,"Harus tap out dalam 2 jam bro, kalau gak kena charge!"
1946,Saldo e-money minus bisa tap out?,"Gak bisa bro, harus top up dulu sebelum keluar gate!"
1947,Kalau lupa tap out gimana?,"Saldo bakal dipotong maksimal bro, kerugian sendiri!"
1948,Apakah ada denda telat bayar tiket bulanan?,"Gak ada telat bayar bro, sistem otomatis perpanjang atau habis!"
1949,Kartu e-money rusak tapi ada saldo?,"Bisa komplain ke bank penerbit kartunya bro, ada prosedur!"
1950,Tap pakai HP/smartwatch bisa?,"Bisa bro, kalau HP kamu support NFC dan udah link kartu!"
1951,Satu kartu e-money buat ramai-ramai bisa?,"Gak bisa bro, satu kartu satu orang. Bakal kena block!"
1952,Kalau ketangkep gak bayar kena denda berapa?,"10x harga tiket plus sanksi bro, bisa blacklist juga!"
1953,Apakah ada inspektur keliling cek tiket?,"Ada bro, random check. Pastikan kartu e-money kamu sudah tap!"
1954,KRL AC sentral atau per gerbong?,"Sentral bro, satu kereta satu sistem AC!"
1955,Kenapa AC KRL kadang gak dingin?,"Biasanya karena terlalu penuh bro, atau memang lagi maintenance!"
1956,Apakah ada ventilasi darurat di KRL?,"Ada bro, sistem ventilasi otomatis jalan kalau AC mati!"
1957,Suhu ideal di dalam KRL berapa?,"Sekitar 24-26 derajat bro, tapi tergantung jumlah penumpang!"
1958,Kalau AC bocor di KRL lapor kemana?,Lapor ke petugas terdekat atau tekan tombol intercom bro!
1959,Filter AC KRL diganti berkala gak?,"Iya bro, ada jadwal maintenance rutin!"
1960,Apakah KRL ramah lingkungan?,"Lumayan ramah bro, pakai listrik jadi emisi lebih rendah dari kendaraan!"
1961,KRL konsumsi listrik berapa per hari?,"Ratusan MWh bro, detail teknisnya rahasia perusahaan!"
1962,Apakah ada panel surya di stasiun?,"Beberapa stasiun udah pakai solar panel bro, terutama yang baru!"
1963,KRL menggunakan rem regeneratif gak?,"Iya bro, teknologi rem bisa balikin energi ke sistem!"
1964,Koneksi internet di KRL kenceng gak?,"Lumayan bro, tapi kalau ramai atau di terowongan suka lemot!"
1965,Provider mana yang sinyalnya bagus di KRL?,"Tergantung rute bro, tapi Telkomsel sama XL biasanya stabil!"
1966,Apakah bisa video call di KRL?,"Bisa tapi gak recommended bro, koneksi gak stabil!"
1967,Charging pakai power bank di KRL aman?,"Aman bro, wajar kok. Banyak yang ngelakuin!"
1968,Apakah ada USB port di KRL?,"Jarang bro, cuma colokan biasa. Bawa adaptor sendiri!"
1969,Live streaming di KRL lancar gak?,"Kurang lancar bro, bandwidth terbatas dan sering putus!"
1970,Download file gede di KRL bisa?,"Bisa tapi lama bro, mending download sebelum naik!"
1971,GPS di dalam KRL akurat?,"Lumayan akurat bro, cuma di terowongan kadang loncat-loncat!"
1972,Aplikasi tracking KRL yang bagus apa?,"KAI Access official bro, paling akurat dan update!"
1973,Apakah ada kamera 360 di KRL?,"Gak ada bro, cuma CCTV biasa untuk keamanan!"
1974,Bawa tanaman hias di KRL boleh?,"Boleh bro, asal gak terlalu besar dan gak ganggu!"
1975,Apakah ada aturan dresscode di KRL?,"Gak ada bro, bebas. Asal sopan dan gak ganggu!"
1976,Boleh bawa drone di KRL?,"Boleh bawa bro, tapi gak boleh terbangkan di area stasiun atau KRL!"
1977,Pakai headphone di KRL boleh?,"Boleh bro, tapi tetap aware sama sekitar untuk keamanan!"
1978,Apakah boleh jualan di dalam KRL?,"Dilarang keras bro, bisa kena tindak sama petugas!"
1979,Minta-minta di KRL diperbolehkan gak?,"Dilarang bro, tapi kadang masih ada. Lapor petugas kalau mengganggu!"
1980,Bawa payung basah di KRL gimana?,"Boleh bro, tapi lipat rapi dan jangan kena penumpang lain!"
1981,Apakah ada mushola di semua stasiun?,"Stasiun besar ada bro, stasiun kecil belum tentu!"
1982,Arah kiblat di mushola stasiun bener gak?,"Bener bro, udah disesuaikan. Ada tanda arahnya!"
1983,Tempat wudhu di stasiun bersih gak?,"Tergantung stasiun bro, yang besar biasanya lumayan bersih!"
1984,Apakah ada Al-Quran di mushola stasiun?,"Beberapa stasiun ada bro, tapi kadang hilang. Bawa sendiri lebih aman!"
1985,Jadwal sholat di stasiun update gak?,"Update bro, biasanya ada papan digital atau speaker pengumuman!"
1986,Boleh sholat di dalam KRL?,"Gak praktis bro, lebih baik tunggu sampai stasiun!"
1987,Mukena tersedia di mushola stasiun?,"Jarang bro, lebih baik bawa sendiri!"
1988,Apakah ada sajadah di KRL untuk darurat?,"Gak ada bro, bawa sendiri kalau butuh!"
1989,Air untuk wudhu di stasiun dingin atau panas?,"Air biasa bro, suhu normal!"
1990,Mushola di stasiun pisah pria-wanita?,Biasanya satu ruang tapi ada sekat bro!
1991,KRL dari Kebayoran ke Sudirman ada?,"Gak ada stasiun Kebayoran bro, maksud kamu Kebayoran Lama? Naik dari Palmerah!"
1992,Stasiun Pondok Cina ada di rute mana?,"Rute kuning Nambo-Jakarta bro, antara Depok Baru dan UI!"
1993,KRL lewat stasiun Universitas Indonesia?,"Iya bro, stasiun UI ada di rute kuning!"
1994,Dari Kemayoran ke Senen naik KRL berapa menit?,"Cuma 5-7 menit bro, cuma 2 stasiun!"
1995,Stasiun Klender masih beroperasi?,"Gak aktif lagi bro untuk penumpang, cuma untuk operasional!"
1996,KRL ada yang lewat Halim gak?,"Gak ada bro, Halim belum dilalui KRL!"
1997,Stasiun Buaran ada di mana?,"Di Bekasi bro, sebelum Klender arah Jakarta!"
1998,KRL dari Gondangdia ke Cikini berapa lama?,"Cuma 3-5 menit bro, cuma satu stasiun!"
1999,Stasiun Kramat ada toilet gak?,"Ada bro, tapi kecil. Lebih baik ke stasiun yang lebih besar!"
2000,Dari Pasar Senen ke Manggarai naik rute apa?,"Rute merah atau kuning bisa bro, cuma 5 stasiun!"
2001,Stasiun Juanda deket ke mana?,"Deket ke Monas dan Gambir bro, jalan kaki 15 menitan!"
2002,KRL ke Bekasi Timur ada?,"Sampai Cikarang bro, itu udah masuk area Bekasi Timur!"
2003,Stasiun Duren Kalibata ada di rute apa?,"Rute merah Jakarta-Bogor bro, sebelum Pasar Minggu!"
2004,Tarif paling murah KRL berapa?,"Rp3.000 bro, untuk jarak 1-25 km!"
2005,Tarif maksimal KRL berapa?,"Sekitar Rp14.000-Rp15.000 bro, untuk jarak paling jauh!"
2006,Anak berapa tahun bayar tiket KRL?,"Di bawah 3 tahun gratis bro, 3 tahun ke atas bayar normal!"
2007,Apakah ada kartu langganan KRL?,"Ada tiket bulanan bro, lebih hemat kalau rutin!"
2008,Tiket bulanan berlaku untuk semua rute?,"Gak bro, cuma untuk rute yang kamu pilih saat beli!"
2009,Harga tiket bulanan KRL Depok-Jakarta?,"Sekitar Rp80.000-Rp100.000 bro, tergantung jarak pasti!"
2010,Apakah tiket bulanan bisa dipindahtangankan?,"Gak bisa bro, pakai nama dan data pribadi!"
2011,Cara perpanjang tiket bulanan KRL?,Via app KAI Access atau datang ke loket bro!
2012,Diskon pelajar berlaku untuk tiket bulanan?,"Iya bro, bisa dapat diskon tambahan!"
2013,Apakah ada promo KRL saat hari tertentu?,"Kadang ada bro, pantau social media KAI Commuter!"
2014,Voucher diskon KRL bisa dari mana?,Dari app e-wallet atau promo bank tertentu bro!
2015,Tarif KRL naik kapan terakhir kali?,"Info resmi cek di website KAI bro, biasanya 2-3 tahun sekali!"
2016,Apakah tarif KRL beda untuk turis?,"Sama aja bro, gak ada tarif khusus turis!"
2017,Kartu multi trip bisa dibagi gak?,"Gak bisa bro, kartu multi trip juga personal!"
2018,Beli tiket KRL bisa pakai kartu kredit?,"Via app bisa bro, tapi di gate harus e-money!"
2019,Apakah ada cashback dari bank untuk KRL?,"Ada bro, beberapa bank kasih cashback. Cek promo masing-masing!"
2020,Minimal top up e-money untuk naik KRL?,"Minimal saldo Rp15.000 bro, buat jaga-jaga!"
2021,E-money kadaluarsa gak?,"Kartunya bisa kadaluarsa bro, tapi saldonya tetap bisa diambil!"
2022,Ganti kartu e-money hilang bisa?,"Bisa bro, lapor ke bank penerbit. Saldo bisa diselamatkan kalau terdaftar!"
2023,Apakah semua bank e-money bisa untuk KRL?,"Yang support NFC dan udah registered bisa bro. Flazz, e-Toll, TapCash paling umum!"
2024,KRL rute lingkar Jakarta ada?,"Ada bro, namanya loop line. Keliling Jakarta Pusat!"
2025,Rute loop line lewat stasiun mana aja?,Manggarai-Jatinegara-Kampung Bandan-Juanda-Manggarai lagi bro!
2026,Berapa lama satu putaran loop line?,"Sekitar 45-60 menit bro, tergantung traffic!"
2027,Apakah loop line terpisah dari KRL lain?,"Gak bro, tetep bagian dari sistem KRL biasa!"
2028,Loop line berhenti di semua stasiun?,"Iya bro, berhenti di semua stasiun sepanjang lingkar!"
2029,Warna rute loop line apa?,"Kuning bro, sama kayak rute Nambo-Jakarta!"
2030,Loop line ramai jam berapa?,"Jam sibuk kayak biasa bro, 06:00-09:00 dan 16:00-19:00!"
2031,Dari loop line bisa transit ke rute lain?,"Bisa banget bro, di Manggarai atau Jatinegara!"
2032,Loop line cocok buat wisata keliling Jakarta?,"Lumayan cocok bro, murah meriah keliling Jakarta!"
2033,Apakah loop line lewat kawasan wisata?,Lewat deket Kota Tua dari Jakarta Kota bro!
